,Enemy training group,Algorithm,Run,Repetition,Enemy,Energy enemy,Enegy player
598,2,Roulette,5,4,8,0,25.00000000000025
599,2,Roulette,5,5,8,0,25.00000000000025
600,2,Roulette,6,1,1,70.0,0
601,2,Roulette,6,2,1,70.0,0
602,2,Roulette,6,3,1,70.0,0
603,2,Roulette,6,4,1,70.0,0
604,2,Roulette,6,5,1,70.0,0
605,2,Roulette,6,1,2,0,74
606,2,Roulette,6,2,2,0,74
607,2,Roulette,6,3,2,0,74
608,2,Roulette,6,4,2,0,74
609,2,Roulette,6,5,2,0,74
610,2,Roulette,6,1,3,50.0,0
611,2,Roulette,6,2,3,50.0,0
612,2,Roulette,6,3,3,50.0,0
613,2,Roulette,6,4,3,50.0,0
614,2,Roulette,6,5,3,50.0,0
615,2,Roulette,6,1,4,70.0,0
616,2,Roulette,6,2,4,70.0,0
617,2,Roulette,6,3,4,70.0,0
618,2,Roulette,6,4,4,70.0,0
619,2,Roulette,6,5,4,70.0,0
620,2,Roulette,6,1,5,0,52.00000000000031
621,2,Roulette,6,2,5,0,50.80000000000031
622,2,Roulette,6,3,5,0,55.00000000000032
623,2,Roulette,6,4,5,0,53.200000000000315
624,2,Roulette,6,5,5,0,52.600000000000314
625,2,Roulette,6,1,6,40.0,0
626,2,Roulette,6,2,6,40.0,0
627,2,Roulette,6,3,6,40.0,0
628,2,Roulette,6,4,6,40.0,0
629,2,Roulette,6,5,6,40.0,0
630,2,Roulette,6,1,7,20.0,0
631,2,Roulette,6,2,7,20.0,0
632,2,Roulette,6,3,7,20.0,0
633,2,Roulette,6,4,7,20.0,0
634,2,Roulette,6,5,7,20.0,0
635,2,Roulette,6,1,8,30.0,0
636,2,Roulette,6,2,8,30.0,0
637,2,Roulette,6,3,8,30.0,0
